"SCTBKEY","DISTRICT"
"480019504011005",6
"480019504011006",6
"480019504011007",6
"480019504011008",6
"480019504011009",6
"480019504011010",6
"480019504011011",6
"480019504011012",6
"480019504011013",6
"480019504011014",6
"480019504011015",6
"480019504011016",6
"480019504011017",6
"480019504011018",6
"480019504011019",6
"480019504011020",6
"480019504021000",6
"480019504021001",6
"480019504021002",6
"480019504021003",6
"480019504021004",6
"480019504021005",6
"480019504021006",6
"480019504021007",6
"480019504021008",6
"480019504021009",6
"480019504021010",6
"480019504021011",6
"480019504021012",6
"480019504021013",6
"480019504021014",6
"480019504021015",6
"480019504021016",6
"480019504021017",6
"480019504021018",6
"480019504021019",6
"480019504021020",6
"480019504021021",6
"480019504021022",6
"480019504021023",6
"480019504021024",6
"480019504021025",6
"480019504021026",6
"480019504021027",6
"480019504021028",6
"480019504021029",6
"480019504021030",6
"480019504021031",6
"480019504021032",6
"480019504021033",6
"480019504021034",6
"480019504021035",6
"480019504021036",6
"480019505001000",6
"480019505001001",6
"480019505001002",6
"480019505001003",6
"480019505001004",6
"480019505001005",6
"480019505001006",6
"480019505001007",6
"480019505001008",6
"480019505001009",6
"480019505001010",6
"480019505001011",6
"480019505001012",6
"480019505001013",6
"480019505001014",6
"480019505001015",6
"480019505001016",6
"480019505001017",6
"480019505001018",6
"480019505001019",6
"480019505001020",6
"480019505001021",6
"480019505001022",6
"480019505001023",6
"480019505001024",6
"480019505001025",6
"480019505001026",6
"480019505001027",6
"480019505001028",6
"480019505001029",6
"480019505001030",6
"480019505001031",6
"480019505001032",6
"480019505001033",6
"480019505001034",6
"480019505002000",6
"480019505002001",6
"480019505002002",6
"480019505002003",6
"480019505002004",6
"480019505002005",6
"480019505002006",6
"480019505002007",6
"480019505002008",6
"480019505002009",6
"480019505002010",6
"480019505002011",6
"480019505002012",6
"480019505002013",6
"480019505002014",6
"480019505002015",6
"480019505002016",6
"480019505002017",6
"480019505002018",6
"480019505002019",6
"480019505002020",6
"480019505002021",6
"480019505002022",6
"480019505002023",6
"480019505002024",6
"480019505002025",6
"480019505002026",6
"480019505002027",6
"480019505002028",6
"480019505002029",6
"480019505002030",6
"480019505002031",6
"480019505003000",6
"480019505003001",6
"480019505003002",6
"480019505003003",6
"480019505003004",6
"480019505003005",6
"480019505003006",6
"480019505003007",6
"480019505003008",6
"480019505003009",6
"480019505003010",6
"480019505003011",6
"480019505003012",6
"480019505003013",6
"480019505003014",6
"480019505003015",6
"480019505003016",6
"480019505003017",6
"480019505003018",6
"480019505003019",6
"480019505003020",6
"480019505003021",6
"480019505003022",6
"480019505003023",6
"480019505003024",6
"480019505003025",6
"480019505003026",6
"480019505003027",6
"480019505003028",6
"480019505003029",6
"480019505003030",6
"480019505003031",6
"480019505003032",6
"480019505003033",6
"480019505003034",6
"480019505003035",6
"480019505003036",6
"480019505003037",6
"480019505003038",6
"480019505003039",6
"480019505003040",6
"480019505003041",6
"480019505003042",6
"480019505003043",6
"480019505003044",6
"480019505003045",6
"480019505003046",6
"480019505003047",6
"480019505003048",6
"480019505003049",6
"480019505003050",6
"480019505003051",6
"480019505003052",6
"480019505003053",6
"480019505003054",6
"480019505003055",6
"480019505003056",6
"480019505003057",6
"480019505003058",6
"480019505003059",6
"480019505003060",6
"480019505003061",6
"480019505003062",6
"480019505003063",6
"480019505003064",6
"480019505003065",6
"480019505003066",6
"480019505003067",6
"480019505003068",6
"480019505003069",6
"480019505003070",6
"480019505003071",6
"480019505003072",6
"480019505003073",6
"480019505003074",6
"480019505003075",6
"480019505003076",6
"480019505003077",6
"480019505003078",6
"480019505003079",6
"480019505003080",6
"480019505003081",6
"480019505003082",6
"480019505003083",6
"480019505004000",6
"480019505004001",6
"480019505004002",6
"480019505004003",6
"480019505004004",6
"480019505004005",6
"480019505004006",6
"480019505004007",6
"480019505004008",6
"480019505004009",6
"480019505004010",6
"480019505004011",6
"480019505004012",6
"480019505004013",6
"480019505004014",6
"480019505004015",6
"480019505004016",6
"480019505004017",6
"480019505004018",6
"480019505004019",6
"480019505004020",6
"480019505004021",6
"480019505004022",6
"480019505004023",6
"480019505004024",6
"480019505004025",6
"480019505004026",6
"480019505004027",6
"480019505004028",6
"480019505004029",6
"480019505004030",6
"480019505004031",6
"480019505004032",6
"480019505004033",6
"480019505004034",6
"480019505004035",6
"480019505004036",6
"480019505004037",6
"480019505004038",6
"480019505004039",6
"480019505004040",6
"480019505004041",6
"480019506001000",6
"480019506001001",6
"480019506001002",6
"480019506001003",6
"480019506001004",6
"480019506001005",6
"480019506001006",6
"480019506001007",6
"480019506001008",6
"480019506001009",6
"480019506001010",6
"480019506001011",6
"480019506001012",6
"480019506001013",6
"480019506001014",6
"480019506001015",6
"480019506001016",6
"480019506001017",6
"480019506001018",6
"480019506001019",6
"480019506001020",6
"480019506001021",6
"480019506001022",6
"480019506001023",6
"480019506001024",6
"480019506001025",6
"480019506001026",6
"480019506001027",6
"480019506001028",6
"480019506001029",6
"480019506001030",6
"480019506001031",6
"480019506001032",6
"480019506001033",6
"480019506001034",6
"480019506001035",6
"480019506001036",6
"480019506001037",6
"480019506001038",6
"480019506001039",6
"480019506001040",6
"480019506001041",6
"480019506001042",6
"480019506001043",6
"480019506001044",6
"480019506001045",6
"480019506001046",6
"480019506001047",6
"480019506001048",6
"480019506001049",6
"480019506001050",6
"480019506001051",6
"480019506001052",6
"480019506001053",6
"480019506001054",6
"480019506001055",6
"480019506001056",6
"480019506001057",6
"480019506001058",6
"480019506001059",6
"480019506001060",6
"480019506001061",6
"480019506001062",6
"480019506001063",6
"480019506001064",6
"480019506001065",6
"480019506001066",6
"480019506001067",6
"480019506001068",6
"480019506001069",6
"480019506001070",6
"480019506001071",6
"480019506001072",6
"480019506001073",6
"480019506001074",6
"480019506001075",6
"480019506001076",6
"480019506001077",6
"480019506001078",6
"480019506001079",6
"480019506002000",6
"480019506002001",6
"480019506002002",6
"480019506002003",6
"480019506002004",6
"480019506002005",6
"480019506002006",6
"480019506002007",6
"480019506002008",6
"480019506002009",6
"480019506002010",6
"480019506002011",6
"480019506002012",6
"480019506002013",6
"480019506002014",6
"480019506002015",6
"480019506002016",6
"480019506002017",6
"480019506002018",6
"480019506002019",6
"480019506002020",6
"480019506002021",6
"480019506002022",6
"480019506002023",6
"480019506002024",6
"480019506002025",6
"480019506002026",6
"480019506002027",6
"480019506002028",6
"480019506002029",6
"480019506002030",6
"480019506002031",6
"480019506002032",6
"480019506002033",6
"480019506002034",6
"480019506002035",6
"480019506002036",6
"480019506003000",6
"480019506003001",6
"480019506003002",6
"480019506003003",6
"480019506003004",6
"480019506003005",6
"480019506003006",6
"480019506003007",6
"480019506003008",6
"480019506003009",6
"480019506003010",6
"480019506003011",6
"480019506003012",6
"480019506003013",6
"480019506003014",6
"480019506003015",6
"480019506003016",6
"480019506003017",6
"480019506003018",6
"480019506003019",6
"480019506003020",6
"480019506003021",6
"480019506003022",6
"480019506003023",6
"480019506003024",6
"480019506003025",6
"480019506003026",6
"480019506003027",6
"480019506003028",6
"480019506003029",6
"480019506003030",6
"480019506003031",6
"480019506003032",6
"480019506003033",6
"480019506003034",6
"480019506003035",6
"480019506003036",6
"480019506003037",6
"480019506003038",6
"480019506003039",6
"480019506003040",6
"480019506003041",6
"480019506003042",6
"480019506003043",6
"480019506003044",6
"480019506003045",6
"480019506003046",6
"480019506003047",6
"480019506003048",6
"480019506003049",6
"480019506003050",6
"480019506003051",6
"480019506003052",6
"480019506003053",6
"480019506003054",6
"480019506003055",6
"480019506003056",6
"480019506003057",6
"480019506003058",6
"480019506003059",6
"480019506003060",6
"480019506003061",6
"480019506003062",6
"480019506003063",6
"480019506003064",6
"480019506003065",6
"480019506003066",6
"480019506003067",6
"480019506003068",6
"480019506003069",6
"480019506003070",6
"480019506003071",6
"480019506003072",6
"480019506003073",6
"480019506003074",6
"480019506003075",6
"480019506003076",6
"480019506003077",6
"480019506003078",6
"480019506003079",6
"480019506003080",6
"480019506003081",6
"480019506003082",6
"480019506003083",6
"480019506003084",6
"480019506003085",6
"480019506003086",6
"480019506003087",6
"480019506003088",6
"480019506003089",6
"480019506004000",6
"480019506004001",6
"480019506004002",6
"480019506004003",6
"480019506004004",6
"480019506004005",6
"480019506004006",6
"480019506004007",6
"480019506004008",6
"480019506004009",6
"480019506004010",6
"480019506004011",6
"480019506004012",6
"480019506004013",6
"480019506004014",6
"480019506004015",6
"480019506004016",6
"480019506004017",6
"480019506004018",6
"480019506004019",6
"480019506004020",6
"480019506004021",6
"480019506004022",6
"480019506004023",6
"480019506004024",6
"480019506004025",6
"480019506004026",6
"480019506004027",6
"480019506004028",6
"480019506004029",6
"480019506004030",6
"480019506004031",6
"480019507001000",6
"480019507001001",6
"480019507001002",6
"480019507001003",6
"480019507001004",6
"480019507001005",6
"480019507001006",6
"480019507001007",6
"480019507001008",6
"480019507001009",6
"480019507001010",6
"480019507001011",6
"480019507001012",6
"480019507001013",6
"480019507001014",6
"480019507001015",6
"480019507001016",6
"480019507001017",6
"480019507001018",6
